Title,Authors,Source.Title,Publication.Year,Nyear,Nsite
Effects of long-term cattle exclosure on vegetation and rodents at a desertified arid grassland site,"Valone, TJ; Sauter, P",JOURNAL OF ARID ENVIRONMENTS,2005,2,1
The impact of physical stress and molluscan grazing on the settlement and recruitment of Tetraclita species (Cirripedia : Balanomorpha) on a tropical shore,"Chan, BKK; Williams, GA",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2003,1,1
Response of winter birds to drought and short-duration grazing in southeastern Arizona,"Bock, CE; Bock, JH",CONSERVATION BIOLOGY,1999,3,1
Effects of grazing and invasive grasses on desert vertebrates in California,"Germano, David J.; Rathbun, Galen B.; Saslaw, Lawrence R.",JOURNAL OF WILDLIFE MANAGEMENT,2012,10,1
Soil fauna in sheep-grazed hill pastures under organic and conventional livestock management and in an adjacent ungrazed pasture,"Schon, N. L.; Mackay, A. D.; Minor, M. A.",PEDOBIOLOGIA,2011,1,1
DECOMPOSITION OF LEAVES OF AVENELLA-FLEXUOSA AND MICROARTHROPOD SUCCESSION IN GRAZED AND UNGRAZED GRASSLANDS,"SIEPEL, H",PEDOBIOLOGIA,1990,NA,1
EFFECTS OF ROTATIONAL GRAZING ON RODENTS AND RAPTORS IN A COASTAL GRASSLAND,"Johnson, Matthew D.; Horn, Christa M.",WESTERN NORTH AMERICAN NATURALIST,2008,2,1
Effects of Invasive Amur Honeysuckle (Lonicera maackii) and White-Tailed Deer (Odocoileus virginianus) on Litter-Dwelling Arthropod Communities,"Christopher, Cory C.; Cameron, Guy N.",AMERICAN MIDLAND NATURALIST,2012,2,1
Megaherbivores and cattle alter edge effects around ecosystem hotspots in an African savanna,"Porensky, Lauren M.; Bucher, Solveig Franziska; Veblen, Kari E.; Treydte, Anna C.; Young, Truman P.",JOURNAL OF ARID ENVIRONMENTS,2013,4,1
Abundance of cottontails (Sylvilagus) in an exurbanizing southwestern savanna,"Bock, Carl E.; Jones, Zach F.; Bock, Jane H.",SOUTHWESTERN NATURALIST,2006,3,1
The Effects of Winter Burning and Grazing on Resources and Survival of Texas Horned Lizards in a Thornscrub Ecosystem,"Hellgren, Eric C.; Burrow, Anna L.; Kazmaier, Richard T.; Ruthven, Donald C., III",JOURNAL OF WILDLIFE MANAGEMENT,2010,4,1
Does the ice rat Otomys sloggetti robertsi contribute to habitat change in Lesotho?,"Mokotjomela, Thabiso; Schwaibold, Ute; Pillay, Neville",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2009,1,1
Soil and decomposer responses to grazing exclusion are weak in mountain snow-beds,"Virtanen, Risto; Salminen, Janne; Strommer, Rauni",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2008,16,1
"Effects of white-tailed deer on the native earthworm, Eisenoides carolinensis, in the southern Appalachian Mountains, USA","Rearick, Daniel; Kintz, Laura; Burke, Katherine L.; Ransom, Tami S.",PEDOBIOLOGIA,2011,4,1
CONSEQUENCES OF CATTLE INTRODUCTION IN A SHRUBSTEPPE ECOSYSTEM: INDIRECT EFFECTS ON DESERT HORNED LIZARDS (PHRYNOSOMA PLATYRHINOS),"Newbold, T. A. Scott; MacMahon, James A.",WESTERN NORTH AMERICAN NATURALIST,2008,3,1
Effects of rotational grazing on nesting ducks in California,"Carroll, L. Chantelle; Arnold, Todd W.; Beam, John A.",JOURNAL OF WILDLIFE MANAGEMENT,2007,3,1
Mammal-induced trophic cascades in invertebrate food webs are modulated by grazing intensity in subalpine grassland,"Vandegehuchte, Martijn L.; Schutz, Martin; de Schaetzen, Frederic; Risch, Anita C.",JOURNAL OF ANIMAL ECOLOGY,2017,5,1
The impact of grazing management on Orthoptera abundance varies over the season in Mediterranean steppe-like grassland,"Fonderflick, Jocelyn; Besnard, Aurelien; Beuret, Aurore; Dalmais, Mathieux; Schatz, Bertrand",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2014,1,1
Does the Aboveground Herbivore Assemblage Influence Soil Bacterial Community Composition and Richness in Subalpine Grasslands?,"Hodel, Melanie; Schuetz, Martin; Vandegehuchte, Martijn L.; Frey, Beat; Albrecht, Matthias; Busse, Matt D.; Risch, Anita C.",MICROBIAL ECOLOGY,2014,3,1
"INFLUENCE OF GRAZING EXCLUSION ON SOIL MACRO-INVERTEBRATE DIVERSITY IN DEGRADED SANDY GRASSLAND (INNER MONGOLIA, CHINA)","Liu, Ren-Tao; Zhao, Ha-Lin; Zhao, Xue-Yong",POLISH JOURNAL OF ECOLOGY,2012,1,1
"Fire Ants, Cattle Grazing, and the Endangered Florida Grasshopper Sparrow","Tucker, James W., Jr.; Schrott, Gregory R.; Bowman, Reed",SOUTHEASTERN NATURALIST,2010,2,1
Mammalian herbivores affect leafhoppers associated with specific plant functional types at different timescales,"Vandegehuchte, Martijn L.; Trivellone, Valeria; Schuetz, Martin; Firn, Jennifer; de Schaetzen, Frederic; Risch, Anita C.",FUNCTIONAL ECOLOGY,2018,1,1
"Fertilisation, cattle grazing and voles: collapse of meadow vole populations in young forests?","Sullivan, Thomas P.; Sullivan, Druscilla S.",WILDLIFE RESEARCH,2014,10,1
"Long-term livestock grazing increases the recruitment success of epigeal termites: insights from a > 75-year grazing experiment in the Karoo, South Africa","Hagan, James G.; du Toit, Justin C. O.; Cramer, Michael D.",AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,2017,56,1
Effects of Grazing on the Northern Three-Toed Jerboa Pre- and Post-Hibernation,"Yuan, Shuai; Fu, Heping; Wu, Xiaodong; Yang, Suwen; Malqin, Xingan; Yue, Xiuxian",JOURNAL OF WILDLIFE MANAGEMENT,2018,6,1
Red deer structure the ground-dwelling beetle community in boreal forest,"Lilleeng, Marte Synnove; Rydgren, Knut; Halvorsen, Rune; Moe, Stein R.; Hegland, Stein Joar",BIODIVERSITY AND CONSERVATION,2018,11,1
Managed grazing is an effective strategy to restore habitat for the endangered autumn buttercup (Ranunculus aestivalis),"Skopec, Michele M.; Lewinsohn, Jennifer; Sandoval, Tyson; Wirick, Clint; Murray, Sheila; Pence, Valerie; Whitham, Linda",RESTORATION ECOLOGY,2018,3,1
Immediate and long-term facilitative effects of cattle grazing on a polyphagous caterpillar,"Berman, Tali S.; Ben-Ari, Matan; Henkin, Zalmen; Inbar, Moshe",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2018,2,1
Herbivore removal reduces influence of arbuscular mycorrhizal fungi on plant growth and tolerance in an East African savanna,"Gonzalez, Jonathan B.; Petipas, Renee H.; Franken, Oscar; Kiers, E. Toby; Veblen, Kari E.; Brody, Alison K.",OECOLOGIA,2018,2,1
The impact of sheep grazing on the depth of spider burrows and of burrows selected by the pygmy bluetongue lizard (Tiliqua adelaidensis),"Clayton, Jessica; Bull, Michael",WILDLIFE RESEARCH,2016,3,1
ANIMAL MOVEMENT IN HETEROGENEOUS LANDSCAPES - AN EXPERIMENT WITH ELEODES BEETLES IN SHORTGRASS PRAIRIE,"CRIST, TO; GUERTIN, DS; WIENS, JA; MILNE, BT",FUNCTIONAL ECOLOGY,1992,NA,1
Consequences of pastoral abandonment for the structure and diversity of the alpine avifauna,"Laiolo, P; Dondero, F; Ciliento, E; Rolando, A",JOURNAL OF APPLIED ECOLOGY,2004,2,1
Effects of livestock grazing on pollination on a steppe in eastern Mongolia,"Yoshihara, Yu; Chimeddorj, Buyanaa; Buuueibaatar, Bayarbaatar; Lhaquasuren, Badamjavin; Takatsuki, Seiki",BIOLOGICAL CONSERVATION,2008,1,1
BOBWHITE HABITAT USE UNDER SHORT DURATION AND DEFERRED-ROTATION GRAZING,"WILKINS, RN; SWANK, WG",JOURNAL OF RANGE MANAGEMENT,1992,2,1
Insensitivity of Soil Microbial Activity to Temporal Variation in Soil N in Subarctic Tundra: Evidence from Responses to Large Migratory Grazers,"Stark, Sari; Vaisanen, Maria",ECOSYSTEMS,2014,2,1
Impacts of high utilisation pressure on biodiversity components in Colophospermum mopane savanna,"Rutherford, M. C.; Powrie, L. W.; Thompson, D. I.",AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,2012,NA,1
Interactive effects of large herbivores and plant diversity on insect abundance in a meadow steppe in China,"Zhu, Hui; Wang, Deli; Guo, Qinfeng; Liu, Jun; Wang, Ling",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,2,1
Profitable and Sustainable Cattle Grazing Strategies Support Reptiles in Tropical Savanna Rangeland,"Neilly, Heather; O'Reagain, Peter; Vanderwal, Jeremy; Schwarzkopf, Lin",RANGELAND ECOLOGY & MANAGEMENT,2018,3,1
Effect of different management practices on ground beetle (Coleoptera: Carabidae) assemblages of uphill grasslands,"Twardowski, Jacek Piotr; Pastuszko, Karolina; Hurej, Michal; Gruss, Iwona",POLISH JOURNAL OF ECOLOGY,2017,3,1
Negative effects of vertebrate on invertebrate herbivores mediated by enhanced plant nitrogen content,"Zhu, Yu; Zhong, Zhiwei; Pages, Jordi F.; Finke, Deborah; Wang, Deli; Ma, Quanui; Hassan, Nazim; Zhu, Hui; Wang, Ling",JOURNAL OF ECOLOGY,2018,1,1
Ecosystem engineering strengthens bottom-up and weakens top-down effects via trait-mediated indirect interactions,"Zhong, Zhiwei; Li, Xiaofei; Pearson, Dean; Wang, Deli; Sanders, Dirk; Zhu, Yu; Wang, Ling",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017,5,1
"Rapid response of a long-lived species to improved water and grazing management: The case of the European pond turtle (Emys orbicularis) in the Camargue, France","Ficheux, Sebastien; Olivier, Anthony; Fay, Remi; Crivelli, Alain; Besnard, Aurelien; Bechet, Arnaud",JOURNAL FOR NATURE CONSERVATION,2014,17,2
DIFFERENCES BETWEEN INVERTEBRATE FAUNAS OF GRAZED AND UNGRAZED CHALK GRASSLAND .4. ABUNDANCE AND DIVERSITY OF HOMOPTERA-AUCHENORHYNCHA,"MORRIS, MG",JOURNAL OF APPLIED ECOLOGY,1971,5,2
Density and reproductive success of California Towhees,"Purcell, KL; Verner, J",CONSERVATION BIOLOGY,1998,7,2
Effects of grazing intensity on small mammal population ecology in wet meadows,"Schmidt, NM; Olsen, H; Bildsoe, M; Sluydts, V; Leirs, H",BASIC AND APPLIED ECOLOGY,2005,4,2
Soil community composition and the regulation of grazed temperate grassland,"Frank, DA; Gehring, CA; Machut, L; Phillips, M",OECOLOGIA,2003,NA,2
Effects of ungulates on epigeal arthropods in Sierra Nevada National Park (southeast Spain),"Gonzalez-Megias, A; Gomez, JM; Sanchez-Pinero, F",BIODIVERSITY AND CONSERVATION,2004,2,2
Brown-headed cowbird behavior and movements in relation to livestock grazing,"Goguen, CB; Mathews, NE",ECOLOGICAL APPLICATIONS,2001,4,2
Effects of large herbivores on murid rodents in a South African savanna,"Hagenah, Nicole; Prins, Herbert H. T.; Olff, Han",JOURNAL OF TROPICAL ECOLOGY,2009,3,2
Finding solutions for bird restoration and livestock management: comparing grazing exclusion levels,"Nelson, Kara S.; Gray, Elizabeth M.; Evans, James R.",ECOLOGICAL APPLICATIONS,2011,6,2
Does Cattle Grazing Affect Ant Abundance and Diversity in Temperate Grasslands?,"Schmidt, Amanda C.; Fraser, Lauchlan H.; Carlyle, Cameron N.; Bassett, Eleanor R. L.",RANGELAND ECOLOGY & MANAGEMENT,2012,2,2
"Termites, Large Herbivores, and Herbaceous Plant Dominance Structure Small Mammal Communities in Savannahs","Okullo, Paul; Greve, Peter M. K.; Moe, Stein R.",ECOSYSTEMS,2013,3,2
"Lagomorph abundance around yellow-eyed penguin (Megadyptes antipodes) colonies, South Island, New Zealand","Moller, H; Keedwell, R; Ratz, H; Bruce, L",NEW ZEALAND JOURNAL OF ECOLOGY,1998,3,2
Corticosterone Metabolite Concentrations in Greater Sage-Grouse Are Positively Associated With the Presence of Cattle Grazing,"Jankowski, M. D.; Russell, R. E.; Franson, J. C.; Dusek, R. J.; Hines, M. K.; Gregg, M.; Hofmeister, E. K.",RANGELAND ECOLOGY & MANAGEMENT,2014,2,2
Grazing Protection Influences Soil Mesofauna in Ungrazed and Grazed Riparian and Upland Pastures,"Miller, Jim J.; Battigelli, Jeffrey P.; Willms, Walter D.",RANGELAND ECOLOGY & MANAGEMENT,2014,1,2
Grazing and the Coupling of Biodiversity in Vascular Plant and Soil Microbial Communities,"Girard-Cartier, Caroline B.; Kleppel, Gary S.",NORTHEASTERN NATURALIST,2017,2,2
Effects of livestock grazing on an Afromontane grassland bird community in the Bale Mountains of Ethiopia,"Mamo, Yosef; Asefa, Addisu; Mengesha, Girma",AFRICAN JOURNAL OF ECOLOGY,2016,1,2
Sympatric cattle grazing and desert bighorn sheep foraging,"Garrison, Kyle R.; Cain, James W., III; Rominger, Eric M.; Goldstein, Elise J.",JOURNAL OF WILDLIFE MANAGEMENT,2016,2,2
Pollinator behavioural responses to grazing intensity,"Sjodin, N. Erik",BIODIVERSITY AND CONSERVATION,2007,7,2
Impact of grazing on soil microbial communities along a chronosequence of Acacia tortilis subsp raddiana in arid soils in Tunisia,"Fterich, Amira; Mandhi, Mosbah; Mars, Mohamed",EUROPEAN JOURNAL OF SOIL BIOLOGY,2012,1,2
Alternative Rangeland Management Strategies and the Nesting Ecology of Greater Prairie-Chickens,"McNew, Lance B.; Winder, Virginia L.; Pitman, James C.; Sandercock, Brett K.",RANGELAND ECOLOGY & MANAGEMENT,2015,3,2
Trapping intensities for sampling ants in Australian rangelands,"James, CD",AUSTRAL ECOLOGY,2004,1,2
Experimental rewilding enhances grassland functional composition and pollinator habitat use,"Garrido, Pablo; Marell, Anders; Ockinger, Erik; Skarin, Anna; Jansson, Anna; Thulin, Carl-Gustaf",JOURNAL OF APPLIED ECOLOGY,2019,3,2
Web spider abundance is affected by sheep farming in the Karoo(</n>),"Henschel, Joh R.; Lubin, Yael",AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,2018,2,2
Impacts of large herbivorous mammals on bird diversity and abundance in an African savanna,"Ogada, D. L.; Gadd, M. E.; Ostfeld, R. S.; Young, T. P.; Keesing, F.",OECOLOGIA,2008,3,3
Land rehabilitation and the conservation of birds in a degraded Afromontane landscape in northern Ethiopia,"Aerts, Raf; Lerouge, Frederik; November, Eva; Lens, Luc; Hermy, Martin; Muys, Bart",BIODIVERSITY AND CONSERVATION,2008,1,3
"Influence of cattle grazing on population density and species richness of granivorous birds (Emberizidae) in the and plain of the Monte, Argentina","Gonnet, JM",JOURNAL OF ARID ENVIRONMENTS,2001,3,3
Grasshopper abundance in an Arizona rangeland undergoing exurban development,"Bock, Carl E.; Jones, Zacb E.; Bock, Jane H.",RANGELAND ECOLOGY & MANAGEMENT,2006,2,3
Both bottom-up and top-down processes contribute to plant diversity maintenance in an edaphically heterogeneous ecosystem,"Denyer, Joanne L.; Hartley, Susan E.; John, Elizabeth A.",JOURNAL OF ECOLOGY,2010,7,3
Indirect effects of domestic and wild herbivores on butterflies in an African savanna,"Wilkerson, Marit L.; Roche, Leslie M.; Young, Truman P.",ECOLOGY AND EVOLUTION,2013,3,3
Vesper Sparrows and Western Meadowlarks Show a Mixed Response to Cattle Grazing in the Intermountain Region of British Columbia,"Harrison, Megan L.; Mahony, Nancy A.; Robinson, Pat; Newbury, Alicia; Green, David J.",AVIAN CONSERVATION AND ECOLOGY,2010,2,3
Influence of cattle on browsing and grazing wildlife varies with rainfall and presence of megaherbivores,"Kimuyu, Duncan M.; Veblen, Kari E.; Riginos, Corinna; Chira, Robert M.; Githaiga, John M.; Young, Truman P.",ECOLOGICAL APPLICATIONS,2017,10,3
"Is livestock grazing compatible with amphibian diversity in the High Mountains of Crdoba, Argentina?","Verga, Ernesto G.; Leynaud, Gerardo C.; Lescano, Julian N.; Bellis, Laura M.",EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2012,3,3
Vegetation responses to 35 and 55 years of native ungulate grazing in shrubsteppe communities,"Rexroad, Echo A.; Beard, Karen H.; Kulmatiski, Andrew",WESTERN NORTH AMERICAN NATURALIST,2007,1,3
The effects of livestock on California ground squirrels (Spermophilus beecheyii),"Fehmi, JS; Russo, SE; Bartolome, JW",RANGELAND ECOLOGY & MANAGEMENT,2005,4,3
Impacts of contrasting conservation grazing management on plants and carabid beetles in upland calcareous grasslands,"Lyons, Ashley; Ashton, Paul A.; Powell, Ian; Oxbrough, Anne",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,1,3
Grazing and resource availability control soil nematode body size and abundance-mass relationship in semi-arid grassland,"Andriuzzi, Walter S.; Wall, Diana H.",JOURNAL OF ANIMAL ECOLOGY,2018,19,3
"Differences in mammal and bird assemblages between commercial and communal rangelands in the Succulent Karoo, South Africa","Joubert, DF; Ryan, PG",JOURNAL OF ARID ENVIRONMENTS,1999,1,3
"The population dynamics of a woodlouse, Armadillidium vulgare: an example of biotic compensatory mechanisms amongst terrestrial macrodecomposers?","Hassall, M; Dangerfield, JM",PEDOBIOLOGIA,1997,NA,3
Influence of livestock grazing on meadow pipit foraging behaviour in upland grassland,"Vandenberghe, Charlotte; Prior, Gina; Littlewood, Nick A.; Brooker, Rob; Pakeman, Robin",BASIC AND APPLIED ECOLOGY,2009,1,3
"Cattle grazing influences soil microbial biomass in sub-tropical grassland ecosystems at Nambol, Manipur, northeast India","Devi, T. Indira; Yadava, P. S.; Garkoti, S. C.",TROPICAL ECOLOGY,2014,1,3
Nematode communities response to long-term grazing disturbance on Tibetan plateau,"Hu, Jing; Wu, Jihua; Ma, Miaojun; Nielsen, Uffe N.; Wang, Jing; Du, Guozhen",EUROPEAN JOURNAL OF SOIL BIOLOGY,2015,15,3
"Impact of grazing on chemical, physical and biological properties of soils in the mountain rangelands of Sahand, Iran","Mofidi, Morteza; Rashtbari, Mehdi; Abbaspour, Hassan; Ebadi, Ali; Sheidai, Esmaeil; Motamedi, Javad",RANGELAND JOURNAL,2012,NA,3
"Beetle responses to habitat fragmentation depend on ecological traits, habitat condition, and remnant size","Driscoll, DA; Weir, T",CONSERVATION BIOLOGY,2005,2,3
Grazing improves habitat suitability for many ground foraging birds in Mediterranean wooded grasslands,"Leal, Ana I.; Acacio, Marta; Meyer, Christoph F. J.; Rainho, Ana; Palmeirim, Jorge M.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2019,1,3
"Indirect effects of a large mammalian herbivore on small mammal populations: Context-dependent variation across habitat types, mammal species, and seasons","Ellis, Taylor D.; Cushman, J. Hall",ECOLOGY AND EVOLUTION,2018,2,3
Subtle foodscape displacement of a native ungulate by free-ranging livestock in a forest agroecosystem,"Wam, Hilde Karine; Herfindal, Ivar",ECOSPHERE,2018,1,3
Experimental reduction of native vertebrate grazing and addition of logs benefit beetle diversity at multiple scales,"Barton, Philip S.; Manning, Adrian D.; Gibb, Heloise; Wood, Jeff T.; Lindenmayer, David B.; Cunningham, Saul A.",JOURNAL OF APPLIED ECOLOGY,2011,1,4
Effects of Stocking Rate and Heather Supplementation on Gastrointestinal Nematode Infections and Host Performance in Naturally-Infected Cashmere Goats,"Osoro, Koldo; Celaya, Rafael; Moreno-Gonzalo, Javier; Ferreira, Luis M. M.; Garcia, Urcesino; Frutos, Pilar; Ortega-Mora, Luis M.; Ferre, Ignacio",RANGELAND ECOLOGY & MANAGEMENT,2009,1,4
EFFECTS OF DIFFERENTIAL LIVESTOCK USE ON KEY PLANT-SPECIES AND RODENT POPULATIONS WITHIN SELECTED ORYZOPSIS-HYMENOIDES HILARIA-JAMESII COMMUNITIES OF GLEN CANYON NATIONAL RECREATION AREA,"BICH, BS; BUTLER, JL; SCHMIDT, CA",SOUTHWESTERN NATURALIST,1995,2,4
NESTING SUCCESS OF GRASSLAND BIRDS IN SHINNERY OAK COMMUNITIES TREATED WITH TEBUTHIURON AND GRAZING IN EASTERN NEW MEXICO,"Smythe, Lindsay A.; Haukos, David A.",SOUTHWESTERN NATURALIST,2009,16,4
The effect and extent of heavy grazing by reindeer in oligotrophic pine heaths in northeastern Fennoscandia,"Vare, H; Ohtonen, R; Mikkola, K",ECOGRAPHY,1996,NA,4
Large herbivores suppress decomposer abundance in a semiarid grazing ecosystem,"Sankaran, M; Augustine, DJ",ECOLOGY,2004,3,4
Soil microbial responses to herbivory in an arctic tundra heath at two levels of nutrient availability,"Stark, S; Grellmann, D",ECOLOGY,2002,10,4
Diversity and guild structure of insect assemblages under grazing and exclusion regimes in a montane grassland from Central Argentina,"Cagnolo, L; Molina, SI; Valladares, GR",BIODIVERSITY AND CONSERVATION,2002,2,4
Examining ecological consequences of feral horse grazing using exclosures,"Beever, EA; Brussard, PF",WESTERN NORTH AMERICAN NATURALIST,2000,1,4
Do delayed effects of overgrazing explain population cycles in voles?,"Klemola, T; Norrdahl, K; Korpimaki, E",OIKOS,2000,3,4
Changes in abundance and diversity of microarthropods associated with Fescue Prairie grazing regimes,"Clapperton, MJ; Kanashiro, DA; Behan-Pelletier, VM",PEDOBIOLOGIA,2002,1,4
Effects of livestock grazing on aboveground insect communities in semi-arid grasslands of southeastern Arizona,"Debano, Sandra J.",BIODIVERSITY AND CONSERVATION,2006,2,4
"Rodent communities in a grazed and ungrazed Arizona grassland, and a model of habitat relationships among rodents in southwestern grass/shrublands","Jones, ZF; Bock, CE; Bock, JH",AMERICAN MIDLAND NATURALIST,2003,NA,4
Nematode communities of grazed and ungrazed semi-natural steppe grasslands in Eastern Austria,"Zolda, P",PEDOBIOLOGIA,2006,1,4
Seasonal grazing impact on cryptogamic crusts in a cold desert ecosystem,"Memmott, KL; Anderson, VJ; Monsen, SB",JOURNAL OF RANGE MANAGEMENT,1998,NA,4
Songbird community composition and nesting success in grazed and ungrazed pinyon-juniper woodlands,"Goguen, CB; Mathews, NE",JOURNAL OF WILDLIFE MANAGEMENT,1998,1,4
"Testing the effects of deer grazing on two woodland rodents, bankvoles and woodmice","Buesching, C. D.; Newman, C.; Jones, J. T.; Macdonald, D. W.",BASIC AND APPLIED ECOLOGY,2011,3,4
"Making sense of a prairie butterfly paradox: The effects of grazing, time since fire, and sampling period on regal fritillary abundance","Moranz, Raymond A.; Fuhlendorf, Samuel D.; Engle, David M.",BIOLOGICAL CONSERVATION,2014,3,4
Avian responses to late-season grazing in a shrub-willow floodplain,"Stanley, TR; Knopf, FL",CONSERVATION BIOLOGY,2002,7,4
The effect of livestock grazing on the rainbow grasshopper: Population differences and ecological correlates,"DeBano, Sandra J.",WESTERN NORTH AMERICAN NATURALIST,2006,1,4
"Elk, sagebrush, and saprotrophs: indirect top-down control on microbial community composition and function","Peschel, Anna R.; Zak, Donald R.; Cline, Lauren C.; Freedman, Zachary",ECOLOGY,2015,1,4
Soil nematode assemblage responds weakly to grazer exclusion on a nutrient-rich seabird island,"Andriuzzi, Walter S.; Keith, Aidan M.; Bardgett, Richard D.; van der Wal, Rene",EUROPEAN JOURNAL OF SOIL BIOLOGY,2013,9,4
Ground-dwelling spider diversity in rare European oak and yew woodlands and the impact of grazing,"Fuller, Lauren; Newman, Miles; Irwin, Sandra; Kelly, Tom; O'Halloran, John",BIODIVERSITY AND CONSERVATION,2014,1,4
Effects of plant cover improvements for nesting ducks on grassland songbirds,"Lapointe, S; Belanger, L; Giroux, JF; Filion, B",CANADIAN FIELD-NATURALIST,2003,3,4
The effects of land use on the structure of ground-foraging ant communities in the Argentine Chaco,"Bestelmeyer, BT; Wiens, JA",ECOLOGICAL APPLICATIONS,1996,1,4
Bird community responses to cattle stocking rates in a Pacific Northwest bunchgrass prairie,"Johnson, Tracey N.; Kennedy, Patricia L.; DelCurto, Tim; Taylor, Robert V.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2011,5,4
Effects of fire and cattle grazing on amphibians and lizards in northeastern Argentina (Humid Chaco),"Cano, Paula D.; Leynaud, Gerardo C.",EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2010,1,4
"Effects of Private-Land Use, Livestock Management, and Human Tolerance on Diversity, Distribution, and Abundance of Large African Mammals","Kinnaird, Margaret F.; O'Brien, Timothy G.",CONSERVATION BIOLOGY,2012,3,4
Indirect effects of grazing and nutrient addition on the hemipteran community of heather moorlands,"Hartley, SE; Gardner, SM; Mitchell, RJ",JOURNAL OF APPLIED ECOLOGY,2003,3,4
HABITAT SHIFTS BY MULE DEER - THE INFLUENCE OF CATTLE GRAZING,"LOFT, ER; MENKE, JW; KIE, JG",JOURNAL OF WILDLIFE MANAGEMENT,1991,3,5
