Study,Title,Nsite,Nyear
1304,"Abondance et diversit? de l?apifaune (Hymenoptera, Anthophila) des toitures v?g?talis?es de l?agglom?ration genevoise",12,9
1305,On the spatial pattern of soil nutrients in desert ecosystems,1,1
1307,"LANDSCAPE EVOLUTION, SOIL FORMATION, AND ECOLOGICAL PATTERNS AND PROCESSES IN SONORAN DESERT BAJADAS",1,1
1308,"Pollutant removal and peak flow mitigation by a bioretention cell in urban Charlotte, NC",1,1
1423,Urban wet environment as mosquito habitat in the upper midwest,1,2
1444,Contaminant exposure and effects in red-winged blackbirds inhabiting stormwater retention ponds,4,1
1487,Ecosystem Characteristics and Summer Secondary Production in Stormwater Ponds and Reference Wetlands,1,1
1500,Effects of large-scale sediment removal on herpetofauna in Florida wetlands,1,1
1541,Methylmercury production and accumulation in urban stormwater ponds and habitat wetlands,2,1
1550,"Variability of water quality, metals and phytoplankton community structure in urban stormwater ponds along a vegetation gradient",1,1
1592,Effects of habitat and landscape quality on amphibian assemblages of urban stormwater ponds,1,1
1603,"COMMUNITY PATTERNS IN TREATMENT WETLANDS, NATURAL WETLANDS, AND CROPLANDS IN FLORIDA",4,1
1606,Factors affecting mosquito populations in created wetlands in urban landscapes,1,2
1619,Large body size for metamorphic wood frogs in urban stormwater wetlands,1,1
1646,Invertebrates in stormwater wet detention ponds - Sediment accumulation and bioaccumulation of heavy metals have no effect on biodiversity and community structure,1,1
1671,Using conservation behavior to manage ecological traps for a threatened freshwater fish,1,1
1672,Stormwater ponds promote dragonfly (Odonata) species richness and density in urban areas,1,1
1692,Assessing habitat requirements of pond-breeding amphibians in a highly urbanized landscape: implications for management,1,1
1776,Unique Bee Communities within Vacant Lots and Urban Farms Result from Variation in Surrounding Urbanization Intensity,1,1
189,Species diversity and performance assessment of trees in domestic gardens,1,1
247,Biodiversity functions of urban cemeteries: Evidence from one of the largest Jewish cemeteries in Europe,1,1
251,Building height matters: nesting activity of bees and wasps on vegetated roofs,22,1
397,Arbuscular mycorrhizal fungi in Australian stormwater biofilters,32,1
429,Initial insights on the biodiversity potential of biosolar roofs: a London Olympic Park green roof case study,1,1
434,Effect of habitat traits on tree structure and growth in private gardens,1,1
514,"Exotic trees contribute to urban forest diversity and ecosystem services in inner-city Cleveland, OH",1,1
536,Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,10,1
546,Nematode Community Response to Green Infrastructure Design in a Semiarid City,1,1
563,Spatially dependent biotic and abiotic factors drive survivorship and physical structure of green roof vegetation,10,1
593,Carabid beetles in green infrastructures: the importance of management practices for improving the biodiversity in a metropolitan city,1,1
641,Bird diversity of greenspaces in the densely developed city centre of Taipei,30,1
670,Biodiversity and functional diversity of Australian stormwater biofilter plant communities,32,1
679,Local habitat characteristics have a stronger effect than the surrounding urban landscape on beetle communities on green roofs,1,1
728,"Population size and development history determine street tree distribution and composition within and between Eastern Cape towns, South Africa",1,1
760,"Seeing the (urban) forest through the trees: governance and household trees in Niamey, Niger",11,1
787,Greening rail infrastructure for carbon benefits,1,1
877,"The contribution of motorway stormwater retention ponds to the
biodiversity of aquatic macroinvertebrates",1,1
879,"Streetscape biodiversity and the role of bioretention swales in an
Australian urban environment",1,1
912,More amphibians than expected in highway stormwater ponds,1,1
926,"Macrophyte zonation in stormwater wetlands: getting it right! A case
study from subtropical Australia",2,1
949,"Colonization of a newly constructed urban wetland by mosquitoes in
England: implications for nuisance and vector species",1,1
976,"Sustainable drainage system (SuDS) ponds in Inverness, UK and the
favourable conservation status of amphibians",12,3
repo.1,Green roof invertebrate biodiversity,93,1
repo.2,Designed habitat heterogeneity on green roofs increases seedling survival but not plant species ,180,1
repo.3,Urban green roofs provide habitat for migrating and breeding birds and their arthropod prey,4,2
repo.4,Butterfly biodiversity survey 2017,153,1
repo.5,"Expert questionnaire results regarding urban biodiversity in Helsinki Metropolitan Area, Finland",1,1
repo.6,Conserving herbivorous and predatory insects in urban green spaces,193,1
repo.7,"Urban nectarivorous bird communities in Cape Town, South Africa, are structured by ecological generalisation and resource distribution",58,1
